room,table,project,tracks,link
,,PostGold,Most Random,https://hackcu-vi.devpost.com/submissions/143190-postgold
,,Reverb,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143192-reverb
,,COLORADO DRIVING TEST,,https://hackcu-vi.devpost.com/submissions/143193-colorado-driving-test
,,Tweet Mood Graph,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143196-tweet-mood-graph
,,Tweet Mood Graph,All Beginner,https://hackcu-vi.devpost.com/submissions/143196-tweet-mood-graph
,,C++ Runtime Reflection Engine,,https://hackcu-vi.devpost.com/submissions/143197-c-runtime-reflection-engine
,,Rizu Ogata,All Beginner,https://hackcu-vi.devpost.com/submissions/143198-rizu-ogata
,,Next Generation Networks with Telemetry Data,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143199-next-generation-networks-with-telemetry-data
,,Next Generation Networks with Telemetry Data,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143199-next-generation-networks-with-telemetry-data
,,Twitter Hashtag Race,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
,,Twitter Hashtag Race,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
,,Twitter Hashtag Race,Most Random,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
,,Twitter Hashtag Race,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143200-twitter-hashtag-race
,,Indian Premier League Visualizations,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143201-indian-premier-league-visualizations
,,Indian Premier League Visualizations,All Beginner,https://hackcu-vi.devpost.com/submissions/143201-indian-premier-league-visualizations
,,Doki Doki CU Story!~,,https://hackcu-vi.devpost.com/submissions/143202-doki-doki-cu-story
,,Go Anonymous ,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143203-go-anonymous
,,Go Anonymous ,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143203-go-anonymous
,,Phone Virtual Reality Skiing! With Wii Fit Board,Most Random,https://hackcu-vi.devpost.com/submissions/143204-phone-virtual-reality-skiing-with-wii-fit-board
,,Just Caption This,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143205-just-caption-this
,,Just Caption This,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143205-just-caption-this
,,ProjectCodeEmpower,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143206-projectcodeempower
,,TapWithUsHackCU,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143207-tapwithushackcu
,,RUBIKS CUBE  USING TAP AIRMOUSE,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
,,RUBIKS CUBE  USING TAP AIRMOUSE,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
,,RUBIKS CUBE  USING TAP AIRMOUSE,Sustainability,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
,,!Backend,,https://hackcu-vi.devpost.com/submissions/143209-backend
,,Coding Chat,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143210-coding-chat
,,Coding Chat,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143210-coding-chat
,,Sustainabeanity,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
,,Sustainabeanity,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
,,Sustainabeanity,Sustainability,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
,,Tap Invaders,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143213-tap-invaders
,,Hacks For Health,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143214-hacks-for-health
,,Hacks For Health,All Beginner,https://hackcu-vi.devpost.com/submissions/143214-hacks-for-health
,,Catscan,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143216-catscan
,,Catscan,Most Random,https://hackcu-vi.devpost.com/submissions/143216-catscan
,,Catscan,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143216-catscan
,,Getloc Poster using Adobe XD,,https://hackcu-vi.devpost.com/submissions/143217-getloc-poster-using-adobe-xd
,,TapPiano,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143218-tappiano
,,TapPiano,All Beginner,https://hackcu-vi.devpost.com/submissions/143218-tappiano
,,cyberhood,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143219-cyberhood
,,cyberhood,Social Impact,https://hackcu-vi.devpost.com/submissions/143219-cyberhood
,,Sleepy Driver Detect,Social Impact,https://hackcu-vi.devpost.com/submissions/143220-sleepy-driver-detect
,,Stop Motion (AR enhanced),Best UX/UI,https://hackcu-vi.devpost.com/submissions/143221-stop-motion-ar-enhanced
,,Gander,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143222-gander
,,Gander,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143222-gander
,,Gander,Most Random,https://hackcu-vi.devpost.com/submissions/143222-gander
,,Gander,All Beginner,https://hackcu-vi.devpost.com/submissions/143222-gander
,,FlyQR,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143223-flyqr
,,FlyQR,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143223-flyqr
,,Plate Gate,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143224-plate-gate
,,Nothing But Net,Most Random,https://hackcu-vi.devpost.com/submissions/143225-nothing-but-net
,,TravelwithN application prototype,Social Impact,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,TravelwithN application prototype,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,TravelwithN application prototype,Most Random,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,TravelwithN application prototype,All Beginner,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,TravelwithN application prototype,Sustainability,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,TravelwithN application prototype,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143226-travelwithn-application-prototype
,,DroPin,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143227-dropin
,,DroPin,Social Impact,https://hackcu-vi.devpost.com/submissions/143227-dropin
,,DroPin,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143227-dropin
,,DroPin,Most Random,https://hackcu-vi.devpost.com/submissions/143227-dropin
,,DroPin,All Beginner,https://hackcu-vi.devpost.com/submissions/143227-dropin
,,Copy Once Past Anywhere- COPA,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143228-copy-once-past-anywhere-copa
,,Copy Once Past Anywhere- COPA,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143228-copy-once-past-anywhere-copa
,,Copy Once Past Anywhere- COPA,Most Random,https://hackcu-vi.devpost.com/submissions/143228-copy-once-past-anywhere-copa
,,Copy Once Past Anywhere- COPA,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143228-copy-once-past-anywhere-copa
,,CS[U]mentoring,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143229-cs-u-mentoring
,,Catch-Taboo,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143230-catch-taboo
,,Catch-Taboo,Most Random,https://hackcu-vi.devpost.com/submissions/143230-catch-taboo
,,Simp Detector,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Simp Detector,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Simp Detector,Social Impact,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Simp Detector,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Simp Detector,Most Random,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Simp Detector,All Beginner,https://hackcu-vi.devpost.com/submissions/143231-simp-detector
,,Robot controlled via Tap Strap,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143232-robot-controlled-via-tap-strap
,,Job Tracker,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143233-job-tracker
,,Job Tracker,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143233-job-tracker
,,ChefAR,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,ChefAR,Social Impact,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,ChefAR,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,ChefAR,Most Random,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,ChefAR,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,ChefAR,Sustainability,https://hackcu-vi.devpost.com/submissions/143234-chefar
,,Political Hacks,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143235-political-hacks
,,Political Hacks,Social Impact,https://hackcu-vi.devpost.com/submissions/143235-political-hacks
,,Political Hacks,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143235-political-hacks
,,Word Stories,Social Impact,https://hackcu-vi.devpost.com/submissions/143236-word-stories
,,Word Stories,Most Random,https://hackcu-vi.devpost.com/submissions/143236-word-stories
,,Scientific Calculator (Chrome Extension),All Beginner,https://hackcu-vi.devpost.com/submissions/143237-scientific-calculator-chrome-extension
,,Get RECt,Social Impact,https://hackcu-vi.devpost.com/submissions/143238-get-rect
,,Get RECt,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143238-get-rect
,,Get RECt,All Beginner,https://hackcu-vi.devpost.com/submissions/143238-get-rect
,,Consume,Social Impact,https://hackcu-vi.devpost.com/submissions/143239-consume
,,HackCU2021,Social Impact,https://hackcu-vi.devpost.com/submissions/143240-hackcu2021
,,HackCU2021,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143240-hackcu2021
,,HackCU2021,Most Random,https://hackcu-vi.devpost.com/submissions/143240-hackcu2021
,,HackCU2021,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143240-hackcu2021
,,Project Vido,Most Random,https://hackcu-vi.devpost.com/submissions/143242-project-vido
,,Project Vido,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143242-project-vido
,,Project Vido,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143242-project-vido
,,Project Vido,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143242-project-vido
,,SafeCheck,All Beginner,https://hackcu-vi.devpost.com/submissions/143244-safecheck
,,Invasive Species Reporter,Sustainability,https://hackcu-vi.devpost.com/submissions/143245-invasive-species-reporter
,,Invasive Species Reporter,Best Use of Adobe XD,https://hackcu-vi.devpost.com/submissions/143245-invasive-species-reporter
