Submission Title,Submission Url,Plain Description,Video,Website,File Url,Desired Prizes,Built With,First Time,What Room Are You In?,What's Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab,Submitter Screen Name,College/Universities Of Team Members,Additional Team Member Count,Team Member 1 Screen Name,...,
Bike Hero,https://hackcuv.devpost.com/submissions/113834-bike-hero,"Inspiration

Submission for Specialized's challenge. 
ADHD kids struggle in classrooms
Child obesity
Video game addiction
Fewer opportunities for kids to be outside
With an app that has snap chat integration, kids will be more inclined to use it. Everyone loves Snapchat.

What it does

Our app allows the gamification of biking to push kids to go outside. The app tracks your biking statistics to give you a score and level, to make physical activity more of a game. In addition, we implemented Snap Kit, adding Snapchat logins, Bitmojis, and allowing your game to be shared on Snapchat seamlessly. 91% of kids think Riding for Focus is a fun program, and 93% of kids would recommend it to a friend, and our application only further incentivizes this. 

How we built it

HTML, CSS, JS-Node, Cordova, Twist API, Swift, Xcode, Snap Kit Creative, Bitmoji, and Login.

Challenges we ran into

There were many problems using the Snap Kit SDK as it was very new. But once this was all figured out it was smooth sailing.

Accomplishments that we're proud of

Gorgeous user interface, that links with Snapchat to create a data-rich sticker.

What's next for Bike Hero

We're going to Disney Land.
",,https://github.com/Jaxkr/HackCU5-BikeHero,,"MLH: Best Use of Snap Kit, Twisted hackers, Kids + Bikes = happier, more attentive students in the classroom, Coolest Hack with Twilio, MLH: Best use of Google Cloud Platform","html5, css3, mapbox, swift, snap-kit, twilio, github, javascript, postgresql, google-cloud, xcode",0,Hacker Space,17,CU Boulder,,Snap,SandeepSKaushik,University of Colorado at Boulder,3,Jaxkr,culsense,42ultra
Get The Fuck App,https://hackcuv.devpost.com/submissions/113862-get-the-fuck-app,"GetTheFuckApp

Inspiration

We have friends (definitely friends, not us) who are terrible at waking up on time. We figured out we should help them, in the worst way we know.

What it does

You set an alarm time, then it starts ringing with a soothing melody from a crafted Spotify list. If you keep ignoring the alarm, the songs become more and more obnoxious.

How we built it

We built a simple Android app and added a connection to Spotify through the Remote App SDK.

Challenges we ran into

There's always problems with authentication with 3rd party service providers, but once that was solved, the rest was pretty straightforward.

Accomplishments that we are proud of

Relearning how Android development works after may years without developing an app.

What we learned

How to integrate Spotify

What's next for Get The Fuck App

Making the app more usable, maybe release on Google Play Store
",,https://github.com/ani300/GetTheFuckApp,,MLH: Best Domain Registered with Domain.com,java,0,North Atrium,18,"Texas A&M University, MIT, UC Irvine, CU Boulder",,,aviros,"Cornell University, Texas A&M University, University of Colorado at Boulder",3,osfu6738,joseales,ximo_g_
NEkeyMark2,https://hackcuv.devpost.com/submissions/113864-nekeymark2,"Our inspiration came from typing papers late into the night and waking up the next morning with ache-y wrists. And that's when it hit us. There has to be a better way. Standard keyboards can be great for fast and accurate typing, but  we are not all blessed with ten working fingers and two working wrists. 

That is why we have created NEkey (pronounced ""any key"").

NEkey allows users to control both keyboard and mouse inputs using only a common video game controller. We achieved this by making two wheel menus around the joysticks. The left joystick selects the layer of different inputs while the right joystick is used to select and type the character.

Mouse controls are handled similarly, once the mouse control button is toggled the joysticks control the cursor. Primary and secondary click are handled through the bumper buttons on the controller.
",,https://github.com/W1r3W0lf/NEkeyMark2,,,python,0,hackerspace,15,"BYU Idaho, CU  Boulder",,,W1r3W0lf,"Brigham Young University - Idaho, University of Colorado at Boulder",1,JuanchoVilla,,
Twilio Slack Post,https://hackcuv.devpost.com/submissions/113869-twilio-slack-post,"Inspiration

Learning and Exploring Twilio. 

What it does

It allows HackCU people to post information and doubts expressed by students in the respective Slack Channel. I have created 3 different slack channels parking, accommodation and hacking. When people sends a SMS to the twilio number their messages will be posted in the Slack Channel that is related to their message.

How we built it

We built it using Twilio flows, widget libraries and slack web-hook integration. I used a HTTP request to POST message to the slack channel.

Challenges we ran into

Figuring out how to enable webhook integration, Posting on Slack using Http request.

Accomplishments that we're proud of

The working of application as we expected it to be.

What we learned

The poetential applications of twilio and how to use it to build something cool.

What's next for Twilio Slack Post

We can filter the messages that are important to user and let the user notify through SMS even when the user is offline.
",,https://www.twilio.com/console/studio/flows/FW019161c3165a86dc1f84ca565f67328c,,"Coolest Hack with Twilio, Best Beginner Hack","twilio, flows, widget-libraries, webhook-integration, slack",1,Main auditorium,22,colorado state university,,,lizacool612,"Sri Venkateswara university, Colorado State University",3,HariHaraKumar,Subramaniam,rohitg17
Twitter User Stats,https://hackcuv.devpost.com/submissions/113883-twitter-user-stats,"Inspiration

We were interested in working with the Twitter API, and thought it would be really interesting to see some general stats about certain profiles. 

What it does

Our program analyzes a given user profile's page and calculates interesting stats. For example, their most popular tweets and most popular followers

How we built it

We used Python as a back end, taking advantage of Tweepy and the Twitter API. From there, we used Flask to integrate our Python with the front end, which was comprised of HTML and JavaScript.

Challenges we ran into

Figuring out how to use the Twitter API at first was confusing at first. We spent a lot of time looking at references to see what we could do with it. Also, We ran into problems with connecting the front end HTML files and the back end Python code. We eventually settled on using Flask which is a Python based code that allows a seamless integration between Python code and HTML basics. We had to make some compromises due to time and lack of experience, including not doing embedded tweets, but we believe it turned out pretty well.

Accomplishments that we're proud of

This is our entire team's first hackathon, so we are really proud of how our project ended up with this in consideration. It was Jacob's first major program in python, and his first time ever using an API. Dylan and Connor are really proud of figuring out how to take Jacob's back end and connect it to a front end, as they have never done this before either.  

What we learned

Using the Twitter API, front end back end connection, and how fun hackathons are!

What's next for Twitter User Stats

We will probably work on minor improvements from here, possibly running outside of flask so that others can use the service by using an online server instead of a local one. Also, if we can figure out embedded tweets that would be great.
",,https://github.com/Drsain/HackCU52019,,"Best use of Twitter API, Best Beginner Hack","python, twitter, javascript, html, flask",1,Main auditorium,33,University of Colorado,,,jacobfelknor,University of Colorado at Boulder,1,connorhorn26,,
Surf - Predictive Browsing Plugin,https://hackcuv.devpost.com/submissions/113885-surf-predictive-browsing-plugin,"#26

Inspiration

When thinking about how to use big data for good, we came up with the concept for Surf in order to help users understand their browsing habits and patterns as well as make some common tasks quicker and easier.

What it does

Surf is a Chrome extension that intelligently suggests sites a user may want to visit based on browsing activity, such as browsing history, mouse movements, and user habits. At the top right of each site, users will see an unobtrusive list of suggestions for that site that displays actions that they would normally take. By mousing over this bar at the top right, users will see an expanded list from which they can select their next destination. Finally, users have access to an analytics page, which includes a visualization of their usage patterns.

Surf also has a companion Android app that allows users to look at their browsing habits as well as access their most used links. The app receives the user data live from the server and displays the current link and a set of suggested pages so that a user can quickly pickup their browsing on their phone. The app also helps provide a better visualization of what a user's web browsing patterns look like at any given link.

How we built it

The extension collects various metadata such as browser history and mouse activity and uses a PageRank-style algorithm to determine a list of suggestions for each website a user visits, and this list changes dynamically as users continue to browse. It syncs this data to a Firebase database, which the companion app reads from. The companion app then translates the data stored onto the server into multiple different components such as webpage title and favicon to present the user with readable data. This data then goes through an adapter we created that compiles this data into cards that are displayed on the screen.

Challenges we ran into


We had to build an algorithm in order to calculate suggestions
Generating/collecting test data to assist in modifying the algorithm was time-consuming
Adding this data to a server took more time than initially planned
Hooking up the extension and app to Firebase complicated things considerably 


Accomplishments that we're proud of

The extension is sleek and genuinely useful, and the Android app provides interesting insights into user browsing habits. The app also reads live from a server, and therefore can be used to expand a user's experience.

What we learned

Building and testing something that's meant to handle lots of data is difficult to do quickly, and adding users and databases complicates things even more. Integrating components of the project written in different programming languages also required a significant amount of extra parsing to connect them.

What's next for Surf - Predictive Browsing Plugin


Enhance algorithm by training a machine learning classifier (we need to collect more real data)
iOS companion app, Firefox/Safari/etc. extensions
More sophisticated user handling/login system
End-to-end encryption of user data


Github


Extension
App
Website

",,https://surf-plugin.com,,"Splunk Challenge, MLH: Best Domain Registered with Domain.com, Big Data Analytics: Non-Obvious Web Traffic, MLH: GCP","android, android-studio, chrome, firebase, javascript",0,Main auditorium,26,"Georgia Tech, UChicago",,Domain.com,parkjs814470,"Fort Hays State University, Georgia Institute of Technology - Main Campus, University of Chicago",3,kevinpark1217,FuadYoussef,juderosen
randomDomainName-Do Not Let Your Mom See This,https://hackcuv.devpost.com/submissions/113887-randomdomainname-do-not-let-your-mom-see-this,"Inspiration

When you are out on the internet, there are stuff that you don't necessarily want your parents, especially your mom to see...

What it does

Ideally, this website is going to be having feeds of random stuff that are not parents-appropriate.
But right now, it's just a random website that is rather appropriate for all-ages.

How I built it

I started with registering the domain name from domain.com, then i started to work on the webpage. I coded the html and css at first. Then I ran into the problem of animating the count-down effect on the 2nd page. So I asked for help on the mentor channel of Slack. Lauren Raddatz came over and helped a lot. After trials and errors of changing codes, switching css to scss and switching it back, We figured out achieving the desired result by modifying a code snippet of javascript online. So the whole webpage is then completed and ready to be published to the web. Then it came to the challenge of finding a web host for my site. I approached mentors on slack, got lots of great suggestions but at last decided to just use another github page to host the domain. Then it's the problem of figuring out how to link my githubpage ixianglll.github.io with the domain name that i registerd link . I had to refer back to another website that I have, which is another domain purchsed from google domain but also hosted through github. The procedure was a bit confusing for the domain.com domain, because there are more than 15 of additional DNS records whose functions that I don't know of. I had to try out adding different methods of adding type A DNS records and even change out its nameservers on domain.com's end. Besides, I had to go back to github to adjust the codes: to rename the 1st page to be index.html, going into all the codes to fix the link to the images, since they are not at the same designated folder as what's been saved on my computer. After the tiny changes were made. It is now working properly on the designated [http://donotletyourmomseethis.com]

Accomplishments that I'm proud of

Having successfully hosted a domain through github. And the domain name is really cool, isn't it!

What I learned

Keep trying, keep googling, ask for help.
It's always GOOD to fail, because you'll then fix the error and the final product more polished and less breakable.
If the code doesn't work, but you think they should. Give it some moment and let the magic of codes do its thing. After... let's say 30min, hit refresh the page, and BOOM, maybe it'll be working now!

What's next for randomDomainName-Do Not Let Your Mom See This

It will be fun to keep working on it and actually turn it into a fun website with lots of feeds coming in, either generated by the users or crawled from the website or handselected. There should a mechanism to filter out the contents that are ""appropriate"". 

EasterEgg

[https://pbs.twimg.com/media/D0Ju25cW0AAB5ee.png]
An octocat who is coding (in python)
",,http://donotletyourmomseethis.com/,,MLH: Best Domain Registered with Domain.com,"html, css, javascript",0,South side of the buildingand by the display screen,16,"University of Colorado, Boulder",,,xiang_luo,University of Colorado at Boulder,0,,,
MLarketplace,https://hackcuv.devpost.com/submissions/113888-mlarketplace,"Inspiration

When a company is looking to enter the market of Machine Learning, their only real avenue of entry is to hire ML engineers.  This creates large barriers of entry for small businesses which cannot afford to spend millions on previously solved problems.

With MLarketplace we gather metrics on project use, and provide a simplified deployment process. So creators can use their expertise to create optimized and efficient solutions to common ML problems, which clients can then apply immediately to their own system.

What it does

MLarketplace is a website built on a flask server and mongoDB database in order to provide easy access to Machine Learning Solutions.  Developers can easily submit both pre-trained and un-trained projects to the database through a simple HTML form, and from there they have easy access to metrics on how their model is being used.  On the other hand, clients are met with project summaries including project name, developer name, and a readme describing the project.

If a project matches a user's needs, they can access the model using our MLarkeplace client library.  Which allows users to train models with their own proprietary data, use the pre-trained systems uploaded by developers, and most importantly, make predictions on their own system.

How we built it

MLarketplace is broken into three fundamental systems: the client side application where processing occurs, the server which stores our project information, and our library which works as the interface between the two.

Client Side: When a client requests a project from MLarketplace, that model is placed in a sandboxed process to protect both the client and developer's private information.  Each time a client asks a model to predict an answer or score it's accuracy, these usage metrics are passed-through to server counters.

Library: Each function on the database is required to operate on jsons to allow for language portability.  Clients can interface through each model's train, predict and score functions.  Train allows users to tailor models to their own application, predict attempts to extrapolate on a given test vector, and score takes known test vectors and classifications to provide easy accuracy calculations.

Server:  The server is built with flask and manages our mongoDB database. Each entry to the database stores developer information such as project and developer name, and  stores pointers to the model's true definitions and readme files.

Challenges we ran into

One of the major challenges we ran into was how to transport developer code without providing A) providing access to the source file to clients, and B) without putting undue strain on our database.  In order to resolve these problems we needed to both define external file systems and implement some basic sandboxing to prevent over-share of data.

Accomplishments that we're proud of

At the end of this hackathon we have created a solid proof of concept, which can interpret and distribute programs very efficiently and simply.

What we learned

This project involved a lot of web development, an area that none of us specialize in.  We have all gained a lot of experience working with flask servers and mongo databases, using forms to take input, and defining libraries to effectively distribute solutions.

What's next for MLarketplace

There are a couple areas that MLarketplace can benefit from continued development.  A more fully fleshed out user system would have to be created to allow for true enterprise solutions, as there is no account protection and verification currently implemented in the system.

Increasing our focus on security by finalizing the sandboxing of our client running systems.  This includes defining hard limits to processing power allowed to potentially malicious ""models"" and screening developer projects to ensure they meet our specifications.

We have laid the foundation for making MLarketplace truly language agnostic, but there is still work to be done in order achieve that goal.  In order to do this, we would have to transform out library into a server that allows for RestAPI requests.
",,https://github.com/SuyogSoti/MLarketplace,,MLH: Best Domain Registered with Domain.com,"python, flask, mongodb, bootstrap",0,Main Auditorium,44,University of Colorado Boulder for all,,Domain.com,avan4780,University of Colorado at Boulder,2,stevmak,suso4455,
Cookie Injection but with Real Cookies,https://hackcuv.devpost.com/submissions/113889-cookie-injection-but-with-real-cookies,"Inspiration

We wanted to create a video game that taught the critical skills of the cybersecurity mindset to 3rd-6th graders. The cybersecurity industry is already lacking 300,000 jobs, an early introduction to the cybersecurity mindset will allow society to manage this need. 

What it does

We created both:
a. An example game to play through the first initial levels of our game using the Godot Engine.
b. A white paper on the principles we applied and a development plan for the future. This white paper goes into detail
the future game and level design as well as the cybersecurity learning objectives for each level.

How we built it

We used the Godot Engine to build all of the characters and levels, starting from an initial example stage of a platformer. All assets and code are 100% MIT Licensed or in the Public Domain. We developed our game with this as a priority because we find it incredibly important for schools benefit from this game as much as possible, including analyzing the source code and making improvements as needed. The game is runnable in basically every format: Web, Windows, Mac, and even Linux. This will greatly benefit distribution and adoption.

Challenges we ran into

Neither of us had ever made a game before, so we where learning as we went along. We spent a large amount of time on just getting the dialog box to appear, then even more time trying to get a button that had an image (plus or minus sign) as it's texture. Once we got over those roadblocks and started to figure out how Godot organized and controlled assets, it was much more smooth (choppy) sailing.

Accomplishments that we're proud of

That we have a game to show and a lot of development planning at the end of this! We are both really happy about the knowledge we gained about game design, from 0, to being able to make a basic app. I am also proud that we created something we feel could be actually impactful. Cybersecurity education and outreach is very important both of us.

What we learned

Don't underestimate the time it takes to do basic tasks and learn new advanced software, like a game engine. This was really time and energy intensive, which means we weren't able to create all the examples that we wanted too. We also learned to appreciate some of the abstractions a game development engine provides. Using one editor, we were able to export functional copies for (almost) any platform.

What's next for Cookie Injection but with Real Cookies

Hopefully, Circadence and TCP are interested in this project, and we can discuss what future development and deployment will look like!

Links:

Please, read the white paper and at least look at a demo! Text me at 303-956-8904 or slack me at @Jake Vossen if you have any issues with any links or executables!!

Additionally, all of our source code is in GitHub with commit history going way back. However, we decided to keep the repo private in case TCP wanted to use it without releasing the source. Text me at 303-956-8904 with your GitHub username or email and I can add you!

Whitepaper PDF

Video Example MP4

Windows Executable

macOS Executable

Linux Executable Tested on Ubuntu 18.04
",,,,"Design, Build or Break Cyber Games for K-12 Education",godot,1,South hackrrspace next to windows,21,Colorado School of Mines,,,jakevossen,Colorado School of Mines,1,fisherdarling,,
Recurtris,https://hackcuv.devpost.com/submissions/113891-recurtris,"Inspiration

This was just a silly idea that I had for a few years now where a game engine repeats recursively where you pop in and out of different layers until you can't handle it anymore. I decided to try this idea with Tetris to see how it might work with this, and whether or not the idea would actually be fun.

What it does

It's a Tetris game, but after you clear 5 lines the drop speed gets significantly slower and a new layer of Tetris is added in! You can jump to each layer of Tetris, pause layers, and try to survive! The goal of the game is to get as many layers deep as you can, but I did try to add a scoring system in as well.

Controls

Arrow Keys/WASD - Move the Tetris piece

Q/E - Rotate the Tetris piece

Enter - Pause the Current Layer - If you pause a layer, all subsequent layers are paused, so if you have 5 layers and pause Layer 2, you also pause layer 3, 4, and 5.

Escape - Go Back a Layer

Space - Go Forward a Layer

How I built it

I built it using Processing.

Challenges I ran into

Getting the recursing working was slightly weird to think about. Besides that, the development of this moved a lot more smoothly than I thought it would, and there were not many challenges, for better or for worse.

Accomplishments that I'm proud of

Honestly, I'm glad that this idea actually works, and that I find it fun in a way!

What I learned

Not a ton was actually learned from this, since this was a silly project; However, I learned how to make a Tetris game, and that the idea was more reasonable than I anticipated!

What's next for Recurtris

It would be cool to add more minigame modes to this, so instead of clearing 5 lines in a Tetris game, you may need to navigate your way through a short platformer game, or have some sort of simple stealth game to add some variety to it.
",,https://drive.google.com/file/d/1o6YwoNKBvCAt5mePw0ujY3FDLwMdGQKZ/view?usp=sharing,,,"java, processing",0,Main Hacker Space,16,University of Colorado Boulder,,,PlatPlat48,University of Colorado at Boulder,0,,,
SNAPstronomer,https://hackcuv.devpost.com/submissions/113892-snapstronomer,"Inspired by Snapchat stickers and satellites

What it does

Creates Elegant Snapchat stickers for satellites overhead

How we built it


Created a python script that


Receives GPS Data
Creates an observation point based on user location and time
Calculates satellite rise and set time
Determines if user is within rise and set time
For each satellite within view, calculates the azimuth and elevation
Find the satellites with the five highest elevations
For each of those five satellites, creates a unique sticker
Saves the sticker to the local directory

Created a website that


Demonstrates the capabilities of the app
Immerses the user into the vision of the app
Allows the user to directly download the .SDK to their android device
Encourages the user to provide feedback to the developers
Allows dedicated users to stay informed by joining a mailing list

Created an android app that


Demonstrates a classic user interface
Provides the opportunity to incorporate python scripts into snapchat stickers



Challenges we ran into


Read / Write permissions in android
Importing relevant python libraries


Accomplishments that we're proud of


Finds the 5 highest satellites in the sky based on latitude, longitude, and elevation
Creates images for each of those five satellites that gives information about them
Creating and updating a project seamlessly using git
The ""branding"" of the product to


Be unique
Complement the Snapchat brand
Show off the vision of and potential of the SNAPstronomer application



What we learned


Integrating Python scripts in Android applications is possible, but has limited feasibility
A website can be bought and published in under two hours
This concept would be better implemented
Photoediting in Python
The power of a diverse team
Libraries do not play nice
""Sleep deprivation is a state of mind""


What's next for SNAPstronomer


An android UI that better matches the SNAPstronomer brand
Add support for planets (and Pluto) along other celestial objects
An implementation that uses an API hosted on snapsats.space to avoid issues with running python on android devices
An ios app
Integrate concept directly into the Snapchat app 


Note for potential employers


Every member of this group has NO binding agreement to the United States Government, job opportunities are not only welcome, but encouraged! 
ALL members of the team currently posses SECRET clearances

",,http://snapsats.space,,MLH: Best Use of Snap Kit,"python, java, android-studio",1,Main room,14,United States Air Force Academy,,Domain.com,Error401-Unauthorized,United States Air Force Academy,0,,,
PeasantSaber,https://hackcuv.devpost.com/submissions/113896-peasantsaber,"Inspiration

stuff

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for PeasantSaber
",,https://github.com/acethespy/peasantsaber,,,"python, opencv",0,Winter Park (Conference S127),8,UC Berkeley,,,acetehspah,,0,,,
WillBikeForGame,https://hackcuv.devpost.com/submissions/113899-willbikeforgame,"Inspiration

Reasons rarely went marinated in my head. When I wanted to play video game, I couldn't think anything else but that.
With the notion that my parents could've convinced me to exercise more, when I was little; I wanted to propose an agreement-centric way to tell the young individuals to go out and ride bikes.

What I learned

Many functionalities those are provided by Firebase.
",,https://github.com/dlee67/WillBikeForGame,,"Kids + Bikes = happier, more attentive students in the classroom, MLH: Best use of Google Cloud Platform","kotlin, firebase, xml, android",0,Eldora,7,MSU Denver,,,dlee67,Metropolitan State University of Denver,0,,,
TrafficBGone,https://hackcuv.devpost.com/submissions/113903-trafficbgone,"TrafficBGone

A Program to Encourage Alternate Travel Times

This project exists because of the awful traffic seen on I-70 during the weekends. We noticed that people tend to leave all at the same time, causing massive backups on the highway. We believe that if we can get people to spread themselves out, we can reduce traffic, and potentially emissions due to less idling in traffic jams. To encourage people to use this service, we have implemented a reward system to encourage people to use the service.
",,https://github.com/TonyNagygyor/TrafficBGone_HACKCU,,"MLH: Best Domain Registered with Domain.com, MLH: Best use of Google Cloud Platform","python, html, smarty",0,Main auditorium,28,Colorado School of Mines,,Google Cloud Platform,rstarritt,Colorado School of Mines,3,liamwarfield,TonyNagygyor,kalwaissi
Poop With Me,https://hackcuv.devpost.com/submissions/113913-poop-with-me,"Inspiration

Locating nearby restaurants is now simpler than ever, but what about amenities that actually require urgency? Our goal was to map and list out all locations of bathrooms, and allow users to rate/review them.

What it does

The app pulls up a map with markers across all nearest bathrooms along with their address and ratings. Upon clicking on each bathroom, users can choose to launch Google maps to find their way to there, or choose to review the location after they are done-- doing so will update that location's average rating.

How I built it

Poop With Me is a native Android app built with Java and Android Studio. We took the City of Boulder, Colorado's Public Restroom Facilities csv, wrote a script to convert it to JSON and imported it into Firebase. Our app calls the Google Maps API and calls Firebase to store and get all user-inputted data.

Challenges I ran into

API for easily finding nearest bathroom was deprecated, rusty Java / Android skills.

Accomplishments that I'm proud of

We had fun and it works! 

What I learned

It's very helpfully to continuously build on working prototypes! Java is a toughie

What's next for Poop With Me

Scaling locating bathrooms to other amenities (ie. wheelchair accessibility), gaining access to datasets outside of Boulder.
",,https://github.com/calgagi/poop.withme/,,MLH: Best use of Google Cloud Platform,"android, android-studio, java, google-maps, firebase",0,Main auditorium,34,"Oregon State University, University of British Columbia",,Google Cloud Platform,charmaineklee,"University of British Columbia, Oregon State University",2,aidangrimshaw,calgagi,
Hack The Classroom!,https://hackcuv.devpost.com/submissions/113914-hack-the-classroom,"Inspiration

An interactive game systems where students get points for getting the 'flag' by solving puzzles and minigames

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Hack The Classroom!
",,http://hacktheclassroom.com,,"MLH: Best Domain Registered with Domain.com, Design, Build or Break Cyber Games for K-12 Education, MLH: Best use of Google Cloud Platform","python, sanic, flask, firebase, javascript, canvas.js, domain.com, pygame, requests, html5, css3",1,Main Room!,33,CU Boulder,,Domain.com,SpencerHanson3141,University of Colorado at Boulder,0,,,
task stack,https://hackcuv.devpost.com/submissions/113915-task-stack,"Inspiration

We dislike typical calendar views, and wanted a viewer that shows the most 

What it does

It displays calendars in a stack

How I built it

Backend: Python/Django
Frontend: HTML/CSS/JS
APIs: Google Calendar

Challenges I ran into

Typical backend/frontend communication bugs

Accomplishments that I'm proud of

Making a really good UI

What I learned

The google calendar API
Django
CSS Transitions

What's next for task stack

More features
",,,,"Best Beginner Hack, Big Data Analytics: Non-Obvious Web Traffic","django, python, css, html, javascript, google-calendar",1,auditorium,43,CU Boulder,,,cope6961,University of Colorado at Boulder,1,HarrisonBolin,,
Attention Monitor - Distracted Driving Solution,https://hackcuv.devpost.com/submissions/113916-attention-monitor-distracted-driving-solution,"Inspiration

A member of our team researched a report on motor vehicle safety from the CDC (Center for Disease Control and Prevention) for a project while in grade school. The report highlighted disturbing facts about distracted driving such as every day approximately 9 people are killed and more than 1,000 people are injured in crashes that involved a distracted driver. In 2015 alone, 391,000 people were injured in motor vehicle crashes, and 3,477 people were killed in crashes involving a distracted driver. ""Distracted driving is driving while doing another activity that takes your attention away from driving. Distracted driving can increase the chance of a motor vehicle crash"" (cdc.gov). Our team became very cognizant of the growing number of incidents and preventable accidents due to distracted driving, and decided to develop an attention monitoring system that could be utilized in several different use cases to monitor and encourage more deliberate engagement while driving a vehicle or operating equipment.

What it does

Our attention monitoring system intelligently monitors a user's head and pupil movement while driving to track when the user is distracted. According to the CDC, visual and cognitive distraction are two of the leading causes of distracted driving, and can lead to serious injuries and loss of life. Our team has imagined several different use cases and implementations of this technology. Attention monitoring and tracking can be used for insurance purposes to determine how engaged and safe drivers are. Other examples include monitoring pilots, bus drivers, equipment operators, and testing the focus of student drivers while participating in Drivers Education. All of the use cases build upon the foundation of attention monitoring and tracking, and can be implemented in different ways to accommodate each use case. When people are driving a car, flying a plane, or operating a piece of motor equipment, it is important that their attention stays on the task they are performing. Once people ""take their eyes off the road"" and become distracted, injuries and fatal outcomes are significantly more likely to occur. Texting and driving is 6 times more likely to get someone in a car accident than drunk driving (icebike.org). The attention monitoring system provides a simple and effective solution to this preventable worriment by tracking the instances that an individual is distracted while driving/flying/operating. Our group has created a specific implementation of the attention monitoring solution designed for the use case of a parent overseeing the quality of their child's driving behavior.

How we built it

Our attention monitor solution and parent/child implementation was built using a Dell XPS 13 laptop running Linux, usb webcam, OpenCV, Twilio, RapidAPI, and Google Cloud. The webcam is used to stream video into the laptop, and the laptop utilizes OpenCV to track the movement of the user's head and pupils. Custom defined thresholds define when a user is considered to be ""distracted."" For instance,  it takes approximately 5 seconds to complete a lane switch (semanticscholar.org), and taking one's eyes off the road long enough to read a text message takes almost 5 seconds to complete (cdc.gov). 5 seconds is enough time to cover a football field at 55mph. If the child is considered to be distracted for more than 5 consecutive seconds, then they are given one strike. After the child gains three strikes, a text message is sent to their parent using Twilio letting them know that their child has been quite distracted while driving. The parent can choose to reply to that automated alert in order to further action. In addition to this, the parent will be able to access an online portal with information including real-time coordinates of the child, real-time location-accurate weather, and histogram representations of driver engagement. The back end was constructed in the web framework Django. Our solution has several diverse applications and markets, so we developed a user interface that is approachable and easy to understand.

Challenges we ran into

The greatest challenge we ran into was trying to create a live updated graph that updated every 20 seconds. One of the main issues was that Bokeh doesn't have clear documentation for their application server implementation in Django. Additionally, Bokeh requires its own port to run its server and with our Django setup we could not run two ports at once unless we set up an Apache server, and we did not have time to do so. After realizing that we could not take this approach we came up with an alternate way of presenting the graphs. We chose to export the graphs to a new html page every time there was new data. The drawback of this approach is that it requires the page to be refreshed every time new data is requested.

Accomplishments that we're proud of

Our team is proud of our collaboration, critical thinking, ingenuity, and the final product. Each one of us has a different technical background and expertise, and we were able to find a way to include everyone's expertise and work together through difficult challenges in order to create an attention monitoring system that tracks when a user is distracted while driving/flying/operating.

What we learned

Our team learned that coming across annoying challenges and bugs are typical to the development process. In addition to this, we expanded our experience in developing with APIs, Django, Geolocation, and SQL.

What's next for Attention Monitor

Our team wants to improve the image recognition system to recognize an individual's head and eyes in more challenging lighting conditions. We want to work on more custom implementations of the solution such as the Parent/Child driving scenario.
",,https://github.com/APChehadi/HackCU-2019-Attention-Monitor,,"MLH: Best Domain Registered with Domain.com, Dish Device Tracker, Coolest Hack with Twilio, MLH: Best use of Google Cloud Platform, RapidAPI Best OctoAPI Hack","python, opencv, json, twilio, google-distance-matrix, google-geocoding, haarcascade, sql, django",0,North Atrium,47,CU Boulder,,Google Cloud Platform,PaperXLV,University of Colorado at Boulder,3,adampchehadi,tlincke125,Vikram-T
Inspiration,https://hackcuv.devpost.com/submissions/113917-inspiration,"inspiration

Inspiration is a project designed to help facilitate creativity in musicians and help them to create their own music. This is accomplished by creating a random chord progression generation program that attunes itself according to the users likes and dislikes via machine learning. All music is based of off chord progressions and half the battle of creating new music is to find new interpretations of old songs. This program does exactly that. By using different mutex algorithms and functions, we can create these new and unique chord progressions for each individual user. No two users are treated the same and will receive different songs according to their preferences.
",,http://musicalprompt.com,,"Splunk Challenge, MLH: Best Domain Registered with Domain.com","javascript, python, jupyter-notebook, html, css, scikit-learn, flask",0,Winter Park,8,"ITESM, CU Boulder, USTHB",,Domain.com,alanbato,"ITESM, University of Colorado at Boulder",2,saidziani,thma4535,
